id	type	DescriptionTitle	PriceLabel	ListingDate	ReListingDate	Address	Suburb	State	PostCode	Property.lat	Property.lon	PropertyType	Agency.Id	Agency.Type	Agency.Name	Agent.Name	Beds	Baths	Cars	EER	PlotSize	Features
178020133	SALES_RESIDENTIAL	A Wilara wonder (in Woden)	$330,000	2020-02-28 05:41:27		64/121 Easty Street	Phillip	ACT	2606	-35.3465322	149.0911721	APARTMENT	1599	Agent	Luton Properties Weston Creek and Molonglo Valley	Alex Rogers	1	1	1	6	16536	[]
178019897	SALES_RESIDENTIAL	Spacious 1 bedroom apartment opposite tranquil parkland	Offers over $380,000	2020-02-28 04:51:15		6/30 Watson Street	Turner	ACT	2612	-35.271172	149.126963	UNIT	5402	Agent	Independent Inner North & City	Chris Uren	1	1	1	6	0	[]
178019800	SALES_RESIDENTIAL	Nothing to do – Just move in	Auction 28/03/20	2020-02-28 04:32:02		8 Tiwi Place	Waramanga	ACT	2611	-35.3536229	149.0637099	HOUSE	166096	Agent	Paul & Robyn Sutton Properties	Paul Sutton	4	1	1	2.5	740	['0', 'Dishwasher', 'Garden Shed', 'Outdoor Entertaining Area', 'Reverse Cycle a/c']
178006311	SALES_RESIDENTIAL	Stylish 3 bedroom corner townhouse with a huge garden, stands apart from the rest!	$559,000+	2020-02-28 03:08:31		1/1 Gifford Street	Coombs	ACT	2611	-35.3166534	149.0380059	TOWNHOUSE	2158	Agent	BRADYS Real Estate	Nicola Brady	3	2	3	6	14947	['Allocated Car Spaces']
178017934	SALES_RESIDENTIAL	'Allure' in Turner	$390,000+	2020-02-28 01:30:45		1/18 MacLeay Street	Turner	ACT	2612	-35.2706586	149.1281926	APARTMENT	84655	Agent	McGrath Estate Agents Gungahlin	Jess Smith	1	1	1	6	0	[]
178017834	SALES_RESIDENTIAL	First Home Buyers, Downsizers and Investors	Auction 19/03/20	2020-02-28 01:01:07		77/44 Jerrabomberra Avenue	Narrabundah	ACT	2604	-35.3390545	149.1504614	HOUSE	572389	Agent	Belle Property Kingston	Rob Cappuccio	2	2	1	4	0	[]
178018003	SALES_RESIDENTIAL	1, 2, 3 Townhouse or Your House?	Where do you see value $$ (Offers Welcome!)	2020-02-28 01:00:54		26/60 Copland Drive	Evatt	ACT	2617	-35.2119843	149.0614152	TOWNHOUSE	139235	Agent	PRD Canberra	Stefan Alexander	3	2	1	4	0	['Air Conditioning', 'Close To Schools', 'Close To Shops', 'Close To Transport', 'Garden', 'Secure Parking', 'Terrace/balcony']
178018076	SALES_RESIDENTIAL	Huge flat block in tree lined street	Auction 28/03/20	2020-02-28 00:51:10		67 Bolderwood Street	Turner	ACT	2612	-35.2705727	149.1178318	HOUSE	186856	Agent	McGrath Estate Agents Dickson	Maree Van Arkel	2	1	0		0	[]
178017724	SALES_RESIDENTIAL	Immaculate single level townhouse	By Negotiation	2020-02-27 23:41:01		14/12 Crisp Circuit	Bruce	ACT	2617	-35.2452919	149.0768934	TOWNHOUSE	186856	Agent	McGrath Estate Agents Dickson	Maree Van Arkel	3	2	2	2	0	[]
178017654	SALES_RESIDENTIAL	distinguished.nostalgia	Auction 21/03/20	2020-02-27 23:31:06		45 Waller Crescent	Campbell	ACT	2612	-35.2836533	149.1548835	HOUSE	577049	Agent	home.byholly	Holly Komorowski	3	2	2	2	0	[]
178017786	SALES_RESIDENTIAL	Beautifully renovated, single level townhouse, vacant & ready for you now	Auction 24/03/20	2020-02-27 23:31:03		25/9 McClintock Street	Lyneham	ACT	2602	-35.2411253	149.1203832	TOWNHOUSE	5402	Agent	Independent Inner North & City	Aaron Lewis	2	1	2	5	0	[]
178017635	SALES_RESIDENTIAL	Superb live in opportunity or investment	$500,000+	2020-02-27 23:21:12		7/18 Moore Street	Turner	ACT	2612	-35.2751941	149.1285266	APARTMENT	186856	Agent	McGrath Estate Agents Dickson	Christopher Dixon	2	2	0	6	0	[]
178017700	SALES_RESIDENTIAL	Fantastic two bedroom townhouse in central location	395,000+	2020-02-27 23:10:42		27/20 Oliver Street	Lyneham	ACT	2602	-35.2500317	149.1327149	APARTMENT	186856	Agent	McGrath Estate Agents Dickson	Maree Van Arkel	2	1	0	6	0	[]
178017719	SALES_RESIDENTIAL	That “Forever Home” feeling	Auction 17/03/20	2020-02-27 23:00:44		7 Trephina Street	Harrison	ACT	2914	-35.2076285	149.1604817	HOUSE	5402	Agent	Independent Inner North & City	Mark Larmer	4	2	2	6	450.3	[]
178017609	SALES_RESIDENTIAL	Spacious and updated family home on a large peaceful block	$599,000+	2020-02-27 22:31:07		10 Nugal Place	Isabella Plains	ACT	2905	-35.4246352	149.1015075	HOUSE	533949	Agent	Agent Team Belconnen	Steve Lowe	4	2	4	3	973	['Dishwasher']
178017545	SALES_RESIDENTIAL	Make your move to Marungul	Auction 21/03/20	2020-02-27 22:30:56		20 Marungul Avenue	Ngunnawal	ACT	2913	-35.1764176	149.1092209	HOUSE	539	Agent	LJ Hooker Gungahlin	Carly Clough	3	1	2	4	464	['Dishwasher']
178017195	SALES_RESIDENTIAL	Single Level and Ideal Location!	Auction 21/03/20	2020-02-27 22:02:51		7 Olga Masters Street	Franklin	ACT	2913	-35.2033558	149.1345467	HOUSE	539	Agent	LJ Hooker Gungahlin	Antony Damiano	3	2	2	4	330	[]
178017618	SALES_RESIDENTIAL	Family home with sensational street appeal	Auction 21/03/20	2020-02-27 22:00:31		15 McHenry Street	Amaroo	ACT	2914	-35.1704249	149.1329472	HOUSE	539	Agent	LJ Hooker Gungahlin	Hugo Mendez	4	2	3	5	738	['Study']
178017445	SALES_RESIDENTIAL	Top Floor, quiet location	$489,000+	2020-02-27 21:20:15		24/16 New South Wales Crescent	Forrest	ACT	2603	-35.3150457	149.1333212	APARTMENT	682863	Agent	Hayman Partners	Rowan Glanville	1	1	1	6	0	['Air Conditioning', 'Built-In Wardrobes', 'Close To Schools', 'Close To Shops', 'Close To Transport', 'Garden']
178017370	SALES_RESIDENTIAL	Townhouse with a Sense of Style	$469,000	2020-02-27 10:10:16		27/46 Paul Coe Crescent	Ngunnawal	ACT	2913	-35.1784534	149.1182556	TOWNHOUSE	694404	Agent	National Real Estate Canberra	Joe Kaltoum	3	1	1	5	0	['Air Conditioning', 'Broadband', 'Dishwasher', 'Gas Hot Water', 'Heating Gas', 'Swimming Pool', 'Tennis Court']
178016881	SALES_RESIDENTIAL	Refreshed Elegant Home, Stunning!	Auction 28/03/20	2020-02-27 07:20:23		2 Devlin Street	Gungahlin	ACT	2912	-35.181668	149.1369659	HOUSE	139235	Agent	PRD Canberra	Alex Wang	4	3	2	5.5	0	['Air Conditioning', 'Built-In Wardrobes', 'Close To Shops', 'Formal Lounge', 'Garden', 'Secure Parking', 'Terrace/balcony']
178014925	SALES_RESIDENTIAL	future.proof	Auction 1:30pm Saturday 21 March 2020	2020-02-27 05:01:19		13 Teague Street	Cook	ACT	2614	-35.2552419	149.0725865	TOWNHOUSE	577049	Agent	home.byholly	Sally Strang	3	2	2	0	0	[]
178014950	SALES_RESIDENTIAL	Highly Sought After but Rarely Found	Auction 21/03/20	2020-02-27 04:51:12		19 Roughley Place	Florey	ACT	2615	-35.2258845	149.0564252	HOUSE	93	Agent	LJ Hooker Belconnen	George Vlandis	3	2	1	1	240	['Close To Schools', 'Close To Transport']
178014309	SALES_RESIDENTIAL	Elevated, stylish home with excellent lifestyle flexibility	$660,000	2020-02-27 04:11:18		7 Tarrant Crescent	Dunlop	ACT	2615	-35.1949126	149.0260585	HOUSE	115835	Agent	Luton Properties Kippax	Ben Oostermeyer	4	2	5	4	500	[]
178014016	SALES_RESIDENTIAL	Amazing views	$925,000	2020-02-27 03:57:08		15 Fitzhardinge Crescent	Evatt	ACT	2617	-35.21640419	149.06524891	HOUSE	60	Agent	Homefinders Real Estate	Julie Castrission	5	3	3	0.5		[]
178013205	SALES_RESIDENTIAL	Near new vacant established residence; ready to enjoy now	Offers over $530,000	2020-02-27 03:51:06		131/56 Forbes Street	Turner	ACT	2612	-35.2620605	149.1304861	UNIT	5403	Agent	Independent Gungahlin	Paul Corazza	2	2	1	6	0	[]
178013939	SALES_RESIDENTIAL	Exquisitely-Renovated Apartment with Spectacular Lake Views	By Negotiation	2020-02-27 03:41:03		47/17 Chandler Street	Belconnen	ACT	2617	-35.2376965	149.0700673	APARTMENT	28075	Agent	Maria Selleck Properties	Maria Selleck	2	1	1	6	0	['Air Conditioning', 'Close To Schools', 'Close To Shops', 'Close To Transport', 'Security Access', 'Water Views']
178013996	SALES_RESIDENTIAL	The grass is greener	Auction 21/03/20	2020-02-27 03:10:58		65 Ebden Street	Ainslie	ACT	2602	-35.2632815	149.1466737	HOUSE	577049	Agent	home.byholly	Holly Komorowski	5	2	1	5	0	[]
178013750	SALES_RESIDENTIAL	Entry level opportunity in prime position	By Negotiation	2020-02-27 02:50:49		12 Hellyer Street	Holder	ACT	2611	-35.3339969	149.0404341	HOUSE	1599	Agent	Luton Properties Weston Creek and Molonglo Valley	Luke Metcalfe	3	1	2	4	759	[]
178013917	SALES_RESIDENTIAL	Resort-style entertainer with 63m2 terrace, vacant & ready to enjoy	Offers over $299,000	2020-02-27 02:30:55		15/57 Benjamin Way	Belconnen	ACT	2617	-35.2424231	149.0678029	UNIT	5405	Agent	Independent Tuggeranong	Will Honey	1	1	1	6	7654.2	[]
178000780	SALES_RESIDENTIAL	Immaculately maintained family home	629,000+	2020-02-10 13:00:00	2020-02-27 02:06:24	37 Bucknel Circuit	Isabella Plains	ACT	2905	-35.4304863	149.1041085	HOUSE	377855	Agent	One Agency Sandy Morris	Tahlia and Zac	4	2	2	1.5	737	[]
178012635	SALES_RESIDENTIAL	Light-filled spacious Home	Auction 28/03/20	2020-02-27 02:00:52		31 Dobikin Street	Crace	ACT	2911	-35.1995859	149.1047832	HOUSE	139235	Agent	PRD Canberra	Alex Wang	4	3	2	3	0	['Air Conditioning', 'Alarm', 'Built-In Wardrobes', 'Formal Lounge', 'Garden', 'Secure Parking', 'Terrace/balcony']
178012718	SALES_RESIDENTIAL	North-facing private oasis offering flexible floorplan	$468,000-$498,000	2020-02-27 01:40:53		51 Bunima Crescent	Ngunnawal	ACT	2913	-35.1620499	149.1034807	HOUSE	84655	Agent	McGrath Estate Agents Gungahlin	Natalie Kokic Schmidt	3	1	1	6	0	[]
178012761	SALES_RESIDENTIAL	Good morning Braddon & hello City!	Offers over $360,000	2020-02-27 01:31:19		505/2 Masson Street	Turner	ACT	2612	-35.2704457	149.1299193	UNIT	5402	Agent	Independent Inner North & City	Aaron Lewis	1	1	1	6	0	[]
178012968	SALES_RESIDENTIAL	When only the best will do	Auction 21/03/20	2020-02-27 01:31:01		66 Captain Cook Crescent	Griffith	ACT	2603	-35.3296004	149.1364908	HOUSE	854944	Agent	Blackshaw Woden, Weston Creek & Molonglo	Robert Peaker	3	1	2	4.5	833	['Built-In Wardrobes', 'Close To Schools', 'Close To Shops', 'Close To Transport', 'Fireplace(s)']
178012611	SALES_RESIDENTIAL	Good For The Environment - Great For Your Family!	Auction 21/03/20	2020-02-27 01:30:58		31 Dwyer Street	Cook	ACT	2614	-35.2646649	149.0682827	HOUSE	80917	Agent	Ray White Canberra 	Troy Reddick	4	2	2	4	719	[]
178012189	SALES_RESIDENTIAL	North Facing Family Home	$910,000+	2020-02-27 00:51:37		1 Stevenson Street	Torrens	ACT	2607	-35.3738019	149.0913284	HOUSE	368677	Agent	Blewitt Properties	Brenden Blewitt	5	2	2	2	0	['Central Heating', 'Dishwasher', 'Garden Shed', 'Outdoor Entertaining Area']
178012476	SALES_RESIDENTIAL	Bruce Lifestyle - Location and Aspect!	Auction 19/03/20	2020-02-27 00:42:14		17/50 Lampard Circuit	Bruce	ACT	2617	-35.236832	149.093072	APARTMENT	80917	Agent	Ray White Canberra 	Treston Bamber	3	2	2	6	0	['Air Conditioning', 'Built-In Wardrobes', 'Close To Schools', 'Close To Shops', 'Close To Transport', 'Secure Parking']
178012417	SALES_RESIDENTIAL	51 Julia Flynn Ave, Isaacs	Auction 21/03/20	2020-02-27 00:42:13		51 Julia Flynn Avenue	Isaacs	ACT	2607	-35.3655202	149.1127415	HOUSE	12	Agent	Blackshaw Manuka	Mario Sanfrancesco	4	3	2	2.5	809.24	[]
178012338	SALES_RESIDENTIAL	Seclusion in a welcoming community	Auction 28/03/20	2020-02-27 00:20:53		137/50 Ellenborough Street	Lyneham	ACT	2602	-35.234961	149.125538	TOWNHOUSE	186856	Agent	McGrath Estate Agents Dickson	Justin Ingram	3	3	2	3.5	0	['Air Conditioning', 'Built-In Wardrobes', 'Carpeted', 'Close To Schools', 'Close To Shops', 'Close To Transport', 'Heating']
178012228	SALES_RESIDENTIAL	Melba's biggest block with stunning views!	Auction 28/03/20	2020-02-27 00:10:59		5 Carey Place	Melba	ACT	2615	-35.2010355	149.0590028	HOUSE	643351	Agent	Blackshaw Belconnen	Matt Sebbens	5	3	2	3	2555	[]
178007710	SALES_RESIDENTIAL	Immaculate Top Floor Apartment	$325,000	2020-02-26 23:52:54		32/16 David Miller Crescent	Casey	ACT	2913	-35.17081654	149.09711339	APARTMENT	18	Agent	Hodgkinson Real Estate	Quinten Hodgkinson	2	1	2	6	5282	['Body Corporate', 'Dishwasher', 'Off-street Parking', 'Outdoor Entertaining Area', 'Split System a/c']
178011835	SALES_RESIDENTIAL	Rare Offering in Realm with Spectacular Views	Auction 21/03/20	2020-02-26 23:51:42		31/1 Sydney Avenue	Barton	ACT	2600	-35.3127807	149.1332135	APARTMENT	12	Agent	Blackshaw Manuka	Georgina Donn	2	2	2	5	0	[]
178012002	SALES_RESIDENTIAL	Fresh and ready to move in	$560,000+	2020-02-26 23:51:29		60 William Hudson Crescent	Monash	ACT	2904	-35.4199578	149.0812927	HOUSE	857413	Agent	Badenoch Real Estate Sales	Symon Badenoch	3	2	2	3	0	[]
178012016	SALES_RESIDENTIAL	curiouser and curiouser	Auction 21/03/20	2020-02-26 23:31:46		25 Geerilong Gardens	Reid	ACT	2612	-35.2825453	149.1436006	HOUSE	577049	Agent	home.byholly	Holly Komorowski	4	4	2	4.5	0	[]
178011968	SALES_RESIDENTIAL	Ideal starter home for professional couple looking for a great location.	$799,000+	2020-02-26 23:31:31		1 Darby Street	Kaleen	ACT	2617	-35.2167121	149.1063059	HOUSE	186856	Agent	McGrath Estate Agents Dickson	Michael Fay	4	3	2	3.5	753	['Built-In Wardrobes', 'Carpeted', 'Close To Schools', 'Close To Shops', 'Close To Transport', 'Heating']
178011986	SALES_RESIDENTIAL	Convenient and sought after Inner North Location	$360,000+	2020-02-26 23:21:22		47/21 Aspinall Street	Watson	ACT	2602	-35.2303782	149.1568898	UNIT	80917	Agent	Ray White Canberra 	Jake Battenally	2	1	1	6	0	['Air Conditioning', 'Built-In Wardrobes', 'Close To Schools', 'Close To Shops', 'Close To Transport', 'Secure Parking']
178011939	SALES_RESIDENTIAL	Home is where the heart is, there has been so much love here!	Auction 21/03/20	2020-02-26 23:21:03		111 Rivett Street	Hackett	ACT	2602	-35.2478546	149.1670869	HOUSE	577049	Agent	home.byholly	Jenny Michael And Mark McReynolds	4	2	2	1	817	[]
178011804	SALES_RESIDENTIAL	As new, ground floor courtyard apartment	$425,000+	2020-02-26 23:20:48		77/5 Hely Street	Griffith	ACT	2603	-35.3218849	149.1477297	UNIT	572389	Agent	Belle Property Kingston	Dan McAlpine	1	1	2	8.5	0	[]
178011812	SALES_RESIDENTIAL	Superb Living in Southport at Greenway	$420,000 - $440,000	2020-02-26 23:10:53		176/35 Oakden Street	Greenway	ACT	2900	-35.4216609	149.0732858	APARTMENT	285646	Agent	White Rhino Property	John Longmire	2	2	2	6	0	['Built-In Wardrobes', 'Heating', 'Pool', 'Water Views']
178011866	SALES_RESIDENTIAL	sustainable.and.stylish	$419,000+	2020-02-26 23:01:01		101/102 Northbourne Avenue	Braddon	ACT	2612	-35.2713482	149.1309532	APARTMENT	577049	Agent	home.byholly	Sally Strang	1	1	1	6	0	[]
178011809	SALES_RESIDENTIAL	One of Harrison's Finest Luxury Home Awaits	Auction 21/03/20	2020-02-26 22:50:47		1 Steep Street	Harrison	ACT	2914	-35.2044716	149.1625948	HOUSE	252785	Agent	Luton Properties Gungahlin	Jason Roses	5	4	2		780	[]
177968089	SALES_RESIDENTIAL	Perfectly placed and brimming with possibility.	$539,000+	2020-02-26 22:50:01		16 Mockridge Crescent	Holt	ACT	2615	-35.22843946	149.0156026	HOUSE	462427	Agent	One Agency Andrew Thorpe	Andrew Thorpe	3	1	2	1.5		[]
178003324	SALES_RESIDENTIAL	Effortless Living	$499,000+	2020-02-26 22:44:01		4 Birrigai Square	Ngunnawal	ACT	2913	-35.17297929	149.1101533	HOUSE	118445	Agent	Morrissey Property	Trenton Morrissey	3	1	1	4		['Alarm', 'Dishwasher', 'Enclosed Backyard', 'Evaporative Cooling', 'Garden Shed', 'Heating Gas', 'Lounge Room', 'Off-street Parking', 'Outdoor Entertaining Area', 'Pergola', 'Separate Toilet']
178009446	SALES_RESIDENTIAL	The Best in Proximity	$295,000	2020-02-26 22:41:12		23/21 Battye Street	Bruce	ACT	2617	-35.24646289	149.09707114	APARTMENT	118445	Agent	Morrissey Property	Trenton Morrissey	1	1	1	6	13522	['Body Corporate', 'Dishwasher', 'Intercom', 'Shower', 'Split System a/c']
178011674	SALES_RESIDENTIAL	Character and Potential in Narrabundah's Dress Circle	By Negotiation	2020-02-26 22:31:08		21 Scott Street	Narrabundah	ACT	2604	-35.3379285	149.1409429	HOUSE	12	Agent	Blackshaw Manuka	David Stokes	3	2	1	0	0	[]
178011807	SALES_RESIDENTIAL	GEORGETOWN	Auction 21/03/20	2020-02-26 22:30:47		12/1-5 Goldman Street	Bruce	ACT	2617	-35.2393271	149.0967019	APARTMENT	572389	Agent	Belle Property Kingston	Samantha Granter	3	2	2	4	0	[]
178011797	SALES_RESIDENTIAL	Harry Seidler.home	$440,000+	2020-02-26 22:20:37		11/8 Edmondson Street	Campbell	ACT	2612	-35.2857088	149.1522751	APARTMENT	577049	Agent	home.byholly	Holly Komorowski	2	1	1	2	0	[]
177796046	SALES_RESIDENTIAL	Family home in exceptional capital growth location	$1,029,000+	2020-01-09 00:02:09	2020-02-26 22:02:26	98 Walker Crescent	Narrabundah	ACT	2604	-35.335503	149.1439373	HOUSE	572389	Agent	Belle Property Kingston	Dan McAlpine	4	1	2	0	679	[]
178011660	SALES_RESIDENTIAL	Outstanding light filled apartment	Auction 21/03/20	2020-02-26 22:00:34		D2/2 Currie Crescent	Griffith	ACT	2603	-35.3173831	149.1371412	APARTMENT	572389	Agent	Belle Property Kingston	Leanne Palmer	2	2	2	3	0	[]
178011631	SALES_RESIDENTIAL	Two Bedroom Demountable near Narrabundah	$190,000	2020-02-26 21:50:28		40 Horizon Avenue	Symonston	ACT	2609	-35.3481385	149.1546743	HOUSE	682863	Agent	Hayman Partners	Shane Killalea	2	1	2	0	0	['Air Conditioning', 'Garden', 'Secure Parking', 'Swimming Pool', 'Terrace/balcony']
178011651	SALES_RESIDENTIAL	A True Dream Lifestyle	Auction 21/03/20	2020-02-26 21:41:00		11 Willesee Rise	Coombs	ACT	2611	-35.313059	149.0448425	HOUSE	12	Agent	Blackshaw Manuka	Mario Sanfrancesco	4	2	2	6	845.22	[]
178011593	SALES_RESIDENTIAL	Stylish Townhouse in an ideal location	$859,000	2020-02-26 21:40:55		1/13 Anderson Street	Chifley	ACT	2606	-35.3491061	149.0807241	HOUSE	682863	Agent	Hayman Partners	Tom Beinke	4	2	2	5.5	236	[]
178011746	SALES_RESIDENTIAL	Brand New Family Home	$1,399,000	2020-02-26 21:40:45		27A Derwent Street	Lyons	ACT	2606	-35.3378526	149.0725418	HOUSE	682863	Agent	Hayman Partners	Tom Beinke	4	3	3	6	0	[]
178011670	SALES_RESIDENTIAL	Outstanding Family Residence in Premium Position	Auction 21/03/20	2020-02-26 21:40:39		97 Jansz Crescent	Griffith	ACT	2603	-35.3357678	149.1349657	HOUSE	12	Agent	Blackshaw Manuka	Mario Sanfrancesco	5	4	6	6	0	[]
178011630	SALES_RESIDENTIAL	Immaculate Townhouse	Auction 21/03/20	2020-02-26 21:40:33		4/53 Kent Street	Deakin	ACT	2600	-35.3187387	149.0987497	TOWNHOUSE	73	Agent	Luton Properties Manuka	Geraldine Collison	3	2	2	6	0	[]
178011698	SALES_RESIDENTIAL	Exceptional Oakley and Parkes' Character in Forrest	Auction 26/03/20	2020-02-26 21:30:24		48 National Circuit	Forrest	ACT	2603	-35.3159785	149.1222496	HOUSE	12	Agent	Blackshaw Manuka	Mario Sanfrancesco	5	4	2	2	0	[]
178011583	SALES_RESIDENTIAL	Comfortable living in convenient location	Offers above $570,000	2020-02-26 21:30:20		58 Warrumbul Street	Ngunnawal	ACT	2913	-35.1684826	149.1069411	HOUSE	558799	Agent	Irwin Property	Greg Amos	3	2	2	4.5	434	['Central Heating', 'Dishwasher', 'Outdoor Entertaining Area']
178011582	SALES_RESIDENTIAL	Modern family living close to schools and parks!	Online Offers Starting At $670,000	2020-02-26 21:20:22		4 John James Loop	Macgregor	ACT	2615	-35.2116045	149.0057136	HOUSE	533949	Agent	Agent Team Belconnen	Steve Lowe	4	2	2	4.5	695	['Air Conditioning', 'Alarm', 'Central Heating', 'Dishwasher', 'Garden Shed', 'Outdoor Entertaining Area', 'Rumpus Room']
178011461	SALES_RESIDENTIAL	Perfect Downsizer or Investment Opportunity	Auction 28/03/20	2020-02-26 20:30:30		19 Julia Flynn Avenue	Isaacs	ACT	2607	-35.3637065	149.1089967	HOUSE	682863	Agent	Hayman Partners	Anthony McCormack	2	1	1	1	330	[]
178011636	SALES_RESIDENTIAL	Family Home in Quiet Position	Auction 21/03/20	2020-02-26 20:30:15		10 Sollya Place	Rivett	ACT	2611	-35.3492593	149.0337671	HOUSE	682863	Agent	Hayman Partners	Anthony McCormack	4	2	2	2.5	844	[]
178011514	SALES_RESIDENTIAL	Come home to Getting	Auction 28/03/20	2020-02-26 20:30:13		24 Getting Crescent	Campbell	ACT	2612	-35.2911729	149.1475261	HOUSE	73	Agent	Luton Properties Manuka	Miriana Cavic	3	2	1	1.5	1123	[]
177899765	SALES_RESIDENTIAL	Executive residence	$925,000	2020-02-26 20:20:09		Norrebro - 46 Aspinall Street	Watson	ACT	2602	-35.2306959	149.1618004	TOWNHOUSE	687413	Agent	Blackshaw Projects	Sam Dodimead	4	3	2	7		['Dishwasher', 'Double Glazed Windows', 'Reverse Cycle a/c', 'Shower', 'Solar Panels', 'Study Nook', 'Walk In Pantry', 'Walk In Robe']
177930303	SALES_RESIDENTIAL	North Easterly aspect with huge wrap around courtyard.	$799,900	2020-02-26 19:34:57		Fresco - 115 Mortimer Lewis Drive	Greenway	ACT	2900	-35.4072054700183	149.072737739848	TOWNHOUSE	687413	Agent	Blackshaw Projects	Sam Dodimead	4	2	2	7		['Dishwasher', 'Double Glazed Windows', 'Reverse Cycle a/c', 'Separate Toilet', 'Shower']
177899854	SALES_RESIDENTIAL	Expansive Townhome with 3 separate living areas	$749,900	2020-02-26 19:28:51		Fresco - 115 Mortimer Lewis Drive	Greenway	ACT	2900	-35.4072054700183	149.072737739848	TOWNHOUSE	687413	Agent	Blackshaw Projects	Sam Dodimead	3	2	2	6		['Dishwasher', 'Double Glazed Windows', 'Reverse Cycle a/c', 'Separate Toilet', 'Shower']
177899870	SALES_RESIDENTIAL	Huge garage with space for a workshop or storage	$704,900	2020-02-26 19:21:48		Fresco - 115 Mortimer Lewis Drive	Greenway	ACT	2900	-35.4072054700183	149.072737739848	TOWNHOUSE	687413	Agent	Blackshaw Projects	Sam Dodimead	3	2	2	7		['Dishwasher', 'Double Glazed Windows', 'Powder Room', 'Reverse Cycle a/c', 'Separate Toilet', 'Shower']
177949127	SALES_RESIDENTIAL	North facing Townhome	$609,900	2020-02-26 19:12:13		Fresco - 115 Mortimer Lewis Drive	Greenway	ACT	2900	-35.4072054700183	149.072737739848	TOWNHOUSE	687413	Agent	Blackshaw Projects	Sam Dodimead	3	2	2	8		['Dishwasher', 'Double Glazed Windows', 'Plans Approved', 'Powder Room', 'Reverse Cycle a/c', 'Shower']
178011588	SALES_RESIDENTIAL	Contemporary family home in a peaceful cul-de-sac	Auction 21/03/20	2020-02-26 19:10:24		4 Jacoby Place	Stirling	ACT	2611	-35.3458331	149.055708	HOUSE	1599	Agent	Luton Properties Weston Creek and Molonglo Valley	Tim and Justine Burke	4	2	2	4	796	[]
178011435	SALES_RESIDENTIAL	A wonderful house alterative, in a highly desirable pocket of Kambah	Auction 21/03/20	2020-02-26 19:10:11		6/92 Crozier Circuit	Kambah	ACT	2902	-35.3898153	149.0444302	TOWNHOUSE	1599	Agent	Luton Properties Weston Creek and Molonglo Valley	Tim and Justine Burke	4	2	2	1.5	7933	[]
178011460	SALES_RESIDENTIAL	Impressive inside and out!	Auction 21/03/20	2020-02-26 19:00:22		47 Peter Cullen Way	Wright	ACT	2611	-35.3236098	149.0350433	HOUSE	682863	Agent	Hayman Partners	Rick and Tina Meir	3	2	1	6	330	[]
178011545	SALES_RESIDENTIAL	Excellent design, lifestyle and location!	Auction 21/03/20	2020-02-26 19:00:11		4/30 Coane Street	Holder	ACT	2611	-35.3394214	149.0478941	TOWNHOUSE	682863	Agent	Hayman Partners	Rick and Tina Meir	3	2	2	4.5	0	[]
178011551	SALES_RESIDENTIAL	Stunning Low Maintenance Executive Style Living	Auction 28/03/20	2020-02-26 18:40:33		27 Mueller Street	Yarralumla	ACT	2600	-35.3082573	149.0992878	HOUSE	682863	Agent	Hayman Partners	Brett Hayman	5	3	2	5	1003	['Built-In Wardrobes', 'Close To Schools', 'Close To Shops', 'Close To Transport']
178011375	SALES_RESIDENTIAL	NATURE'S NEIGHBOUR WITH VIEWS FOREVER	Auction 21/03/20	2020-02-26 18:40:14		13 Kaeppel Place	Isaacs	ACT	2607	-35.3686293	149.1160603	HOUSE	682863	Agent	Hayman Partners	Brett Hayman	5	3	2	2.5	1106	['Built-In Wardrobes', 'Close To Schools', 'Close To Shops', 'Close To Transport', 'Garden', 'Swimming Pool']
178011459	SALES_RESIDENTIAL	Family values here - Quiet location	$895,000 +	2020-02-26 18:30:19		11 Wollaston Place	Stirling	ACT	2611	-35.3535629	149.0485583	HOUSE	682863	Agent	Hayman Partners	Brett Hayman	4	2	2	2	802	['Built-In Wardrobes', 'Close To Schools', 'Close To Shops', 'Close To Transport']
178011245	SALES_RESIDENTIAL	Entry Level - Superb Location - Easy Living	Auction 21/03/20	2020-02-26 18:30:11		10 Petre Place	Scullin	ACT	2614	-35.2353679	149.0425071	HOUSE	682863	Agent	Hayman Partners	Brett Hayman	3	1	1	1.5	741	['Air Conditioning', 'Built-In Wardrobes', 'Close To Schools', 'Close To Shops', 'Close To Transport']
177899764	SALES_RESIDENTIAL	North facing townhouse with 3kw solar system	$604,900	2020-02-26 18:27:18		Norrebro - 46 Aspinall Street	Watson	ACT	2602	-35.2306959	149.1618004	TOWNHOUSE	687413	Agent	Blackshaw Projects	Sam Dodimead	3	2	2	7		['Dishwasher', 'Double Glazed Windows', 'Reverse Cycle a/c', 'Shower', 'Solar Panels']
177899763	SALES_RESIDENTIAL	Beautiful north facing townhouse with 3kw solar system	$524,900	2020-02-26 18:12:51		Norrebro - 46 Aspinall Street	Watson	ACT	2602	-35.2306959	149.1618004	TOWNHOUSE	687413	Agent	Blackshaw Projects	Sam Dodimead	2	2	1	7		['Dishwasher', 'Double Glazed Windows', 'Reverse Cycle a/c', 'Shower', 'Solar Panels', 'Study']
